site_id,site_name,latitude,longitude,altitude,state,county,city,land_use,location_setting,owning_agency,established_date,closed_date,address,zip_code,area_classification
081130004,Telluride,37.937872,-107.813061,2684.0,Colorado,San Miguel,Telluride,COMMERCIAL,SUBURBAN,Colorado Department of Public Health And Environment,1990-03-01,,333 W. COLORADO AVE.,81435.0,urban-periphery
081130007,Miramonte Reservoir,38.007,-108.413,2357.0,Colorado,San Miguel,Not in a City,FOREST,RURAL,US Forest Service,2010-06-25,,Miramonte Reservoir,81423.0,rural
081130008,Norwood,38.132,-108.285,2137.0,Colorado,San Miguel,Norwood,FOREST,RURAL,US Forest Service,2011-03-31,,Norwood,81423.0,rural
081190003,Manitou Experimental Forest,39.101,-105.093,2360.0,Colorado,Teller,Not in a City,FOREST,RURAL,US Forest Service,2008-06-09,,Manitou Experimental Forest,80863.0,rural
081196012,WEST OF THE CITY NEAR THE FLORISSANT FOSSIL BEDS NATL MONUMENT,38.935824,-105.177487,2760.0,Colorado,Teller,Not in a city,AGRICULTURAL,RURAL,City of Colorado Springs,1988-01-01,,9732 W HWY 24,80814.0,rural
081230006,Greeley - Hospital,40.414877,-104.70693,1441.0,Colorado,Weld,Greeley,RESIDENTIAL,SUBURBAN,Colorado Department of Public Health And Environment,1967-04-01,,1516 HOSPITAL RD.,80631.0,urban-periphery
081230008,Platteville - Middle School,40.209387,-104.82405,1469.0,Colorado,Weld,Platteville,AGRICULTURAL,RURAL,Colorado Department of Public Health And Environment,1998-12-01,,1004 MAIN ST.,80651.0,rural
081230009,Greeley - Weld County Tower,40.386368,-104.73744,1484.0,Colorado,Weld,Greeley,RESIDENTIAL,SUBURBAN,Colorado Department of Public Health And Environment,2002-06-05,,3101 35TH AVE.,80620.0,urban-periphery
081230011,Briggsdale,40.65,-104.33,1483.0,Colorado,Weld,Not in a City,AGRICULTURAL,RURAL,US Forest Service,2011-05-13,,Briggsdale,80611.0,rural
081230012,Pawnee Buttes,40.813,-104.036,1661.0,Colorado,Weld,Not in a City,FOREST,RURAL,US Forest Service,2013-03-02,,Pawnee Buttes,80729.0,rural
081230014,Missile Site Park,40.428914,-104.86148,1512.0,Colorado,Weld,Greeley,AGRICULTURAL,RURAL,Colorado Department of Public Health And Environment,2021-07-03,,10611 CO-257 Spur,,rural
081230015,La Salle Tower,40.2614,-104.70645,1719.0,Colorado,Weld,La Salle,AGRICULTURAL,RURAL,Colorado Department of Public Health And Environment,2024-01-01,,18490 County Road 38,80651.0,rural
090010010,Roosevelt School-Bridgeport,41.170833,-73.194722,7.0,Connecticut,Fairfield,Bridgeport,RESIDENTIAL,URBAN AND CENTER CITY,Connecticut Department of Environmental Protection,1982-05-01,,ROOSEVELT SCHOOL PARK AVE.,6604.0,urban-centre
090010012,090010012,41.195076,-73.163447,34.0,Connecticut,Fairfield,Bridgeport,RESIDENTIAL,URBAN AND CENTER CITY,Connecticut Department of Environmental Protection,1983-01-01,,115 BOSTON TERRACE,6610.0,urban-centre
090010017,Greenwich Point Park,41.004657,-73.585128,3.0,Connecticut,Fairfield,Greenwich (Town of),RESIDENTIAL,SUBURBAN,Connecticut Department of Environmental Protection,1978-01-01,,Tods Driftway (see coordinates),6870.0,urban-periphery
090010020,090010020,41.055833,-73.539444,9.0,Connecticut,Fairfield,Stamford,COMMERCIAL,URBAN AND CENTER CITY,Connecticut Department of Environmental Protection,1977-01-01,, LIBRARY 96 BROAD ST STAMFORD CT,6901.0,urban-centre
090010113,090010113,41.183708,-73.189835,3.0,Connecticut,Fairfield,Bridgeport,COMMERCIAL,URBAN AND CENTER CITY,Connecticut Department of Environmental Protection,1987-12-01,,SHED CONGRESS STREET,,urban-centre
090011123,Western Conn State Univ,41.399167,-73.443056,116.0,Connecticut,Fairfield,Danbury,RESIDENTIAL,SUBURBAN,Connecticut Department of Environmental Protection,1974-01-01,,"White St at 8th Ave, parking garage roof",6810.0,urban-periphery
090011401,090011401,41.063153,-73.507899,6.0,Connecticut,Fairfield,Darien (Town of),RESIDENTIAL,SUBURBAN,Connecticut Department of Environmental Protection,1989-04-01,,I-95 AT BROOKSIDE DRIVE,,urban-periphery
090012014,090012014,41.106764,-73.419008,10.0,Connecticut,Fairfield,Norwalk,RESIDENTIAL,SUBURBAN,Connecticut Department of Environmental Protection,1988-10-01,,I-95 AT WEST AVE,,urban-periphery
090013005,Health Dept,41.1125,-73.407222,15.0,Connecticut,Fairfield,Norwalk,RESIDENTIAL,SUBURBAN,Connecticut Department of Environmental Protection,1969-01-01,,137 EAST AVENUE,6851.0,urban-periphery
090013007,USGS Lighthouse,41.1525,-73.103056,3.0,Connecticut,Fairfield,Stratford (Town of),RESIDENTIAL,SUBURBAN,Connecticut Department of Environmental Protection,1980-01-01,,"USCG LIGHTHOUSE , PROSPECT STREET",,urban-periphery
090019003,Sherwood Island Connector,41.118333,-73.336667,4.0,Connecticut,Fairfield,Westport,FOREST,RURAL,Connecticut Department of Environmental Protection,1996-01-12,,SHERWOOD ISLAND STATE PARK,6880.0,rural
090030017,090030017,41.769167,-72.670278,8.0,Connecticut,Hartford,Hartford,COMMERCIAL,URBAN AND CENTER CITY,Connecticut Department of Environmental Protection,1984-01-11,,"COURTHOUSE, 155 MORGAN STREET",6103.0,urban-centre
090030025,Huntley Place-Hartford,41.771444,-72.679923,8.0,Connecticut,Hartford,Hartford,COMMERCIAL,URBAN AND CENTER CITY,Connecticut Department of Environmental Protection,2013-04-01,,10 Huntley Place,6120.0,urban-centre
090031003,McAuliffe Park,41.784722,-72.631667,15.0,Connecticut,Hartford,East Hartford,RESIDENTIAL,SUBURBAN,Connecticut Department of Environmental Protection,1981-01-01,,Remington Road (see coordinates),6108.0,urban-periphery
090031004,090031004,41.765933,-72.644814,11.0,Connecticut,Hartford,East Hartford (Town of),COMMERCIAL,URBAN AND CENTER CITY,Connecticut Department of Environmental Protection,1982-01-01,,"CITY HALL, 740 MAIN STREET",,urban-centre
090031005,090031005,42.015929,-72.517587,60.0,Connecticut,Hartford,Enfield (Thompsonville),AGRICULTURAL,RURAL,Connecticut Department of Environmental Protection,1983-08-19,,SHAKER ROAD,,rural
090031018,090031018,41.760933,-72.67037,10.0,Connecticut,Hartford,Hartford,COMMERCIAL,URBAN AND CENTER CITY,Connecticut Department of Environmental Protection,1988-11-14,,CORNER OF SHELDON ST. AND COLUMBUS BLVD,,urban-centre
090050004,THOMASTON WPCF,41.64486,-73.07908,102.0,Connecticut,Litchfield,Thomaston,INDUSTRIAL,URBAN AND CENTER CITY,Connecticut Department of Environmental Protection,2006-09-07,,ACROSS FROM 258 OLD WATERBURY ROAD,,urban-centre
090050005,Mohawk Mt-Cornwall,41.821342,-73.297257,505.0,Connecticut,Litchfield,Cornwall,FOREST,RURAL,Connecticut Department of Environmental Protection,1988-09-01,,MOHAWK MOUNTAIN ROAD (see coordinates),6759.0,rural
090079007,CVH,41.55,-72.626,49.0,Connecticut,Middlesex,Middletown,RESIDENTIAL,SUBURBAN,Connecticut Department of Environmental Protection,2017-10-01,,"Connecticut Valley Hospital, Near Battell Hall",6457.0,urban-periphery
090090018,090090018,41.293986,-72.900935,3.0,Connecticut,New Haven,New Haven,INDUSTRIAL,URBAN AND CENTER CITY,Connecticut Department of Environmental Protection,1985-01-01,,STILES STREET.,,urban-centre
090090026,090090026,41.291111,-72.894167,25.0,Connecticut,New Haven,New Haven,RESIDENTIAL,URBAN AND CENTER CITY,Connecticut Department of Environmental Protection,2003-04-01,,WOODWARD AVENUE,6512.0,urban-centre
090090027,Criscuolo Park-New Haven,41.3014,-72.902871,3.6,Connecticut,New Haven,New Haven,COMMERCIAL,URBAN AND CENTER CITY,Connecticut Department of Environmental Protection,2004-01-01,,1 James Street,6513.0,urban-centre
090091123,State St-New Haven,41.310833,-72.916944,18.0,Connecticut,New Haven,New Haven,RESIDENTIAL,URBAN AND CENTER CITY,Connecticut Department of Environmental Protection,1975-01-01,,715 STATE STREET,6511.0,urban-centre
090092008,090092008,41.331389,-72.919722,40.0,Connecticut,New Haven,New Haven,RESIDENTIAL,SUBURBAN,Connecticut Department of Environmental Protection,1967-01-01,,AGRI EXPR STA HUNTINGTON ST,,urban-periphery
090092123,Meadow and Bank Streets,41.550556,-73.043611,80.0,Connecticut,New Haven,Waterbury,MOBILE,URBAN AND CENTER CITY,Connecticut Department of Environmental Protection,1975-01-01,,Bank St at Meadow St (see coordinates),6702.0,urban-centre
090093002,090093002,41.260833,-72.55,3.0,Connecticut,New Haven,Madison (Town of),,,Connecticut Department of Environmental Protection,1981-01-01,,HAMMONASSET STATE PARK,6443.0,unknown
090098003,090098003,41.277875,-72.963992,30.0,Connecticut,New Haven,West Haven,RESIDENTIAL,SUBURBAN,Connecticut Department of Environmental Protection,1985-07-01,,OLEANDER ST AT I-95,,urban-periphery
090099002,Hammonasset State Park,41.256788,-72.55327,3.0,Connecticut,New Haven,Madison (Town of),RESIDENTIAL,SUBURBAN,Connecticut Department of Environmental Protection,2012-08-30,,"Meigs Point, Hammonasset State Park",6443.0,urban-periphery
090099005,????,41.341111,-72.921389,0.0,Connecticut,New Haven,Hamden (Town of),RESIDENTIAL,SUBURBAN,Connecticut Department of Environmental Protection,1998-12-07,,MILL ROCK BASIN,,urban-periphery
090110008,090110008,41.317222,-72.065,6.0,Connecticut,New London,Groton,RESIDENTIAL,SUBURBAN,Connecticut Department of Environmental Protection,1985-01-01,,"UNIVERSITY OF CONNECTICUT, AVERY POINT",6340.0,urban-periphery
090110009,090110009,41.366765,-72.113132,25.0,Connecticut,New London,New London,RESIDENTIAL,SUBURBAN,Connecticut Department of Environmental Protection,1989-02-28,,PERKINS ST TURN-AROUND,,urban-periphery
090110124,Fort Griswold Park,41.35362,-72.07882,49.0,Connecticut,New London,Groton,COMMERCIAL,SUBURBAN,Connecticut Department of Environmental Protection,2007-04-01,,"141 Smith Street, Groton",6340.0,urban-periphery
090113002,Court House-Norwich,41.524167,-72.076667,12.0,Connecticut,New London,Norwich,COMMERCIAL,URBAN AND CENTER CITY,Connecticut Department of Environmental Protection,1984-04-24,,1 COURT HOUSE SQUARE,6360.0,urban-centre
090131001,Shenipsit State Forest,41.976389,-72.388056,265.0,Connecticut,Tolland,Stafford (Stafford Hollow),FOREST,RURAL,Connecticut Department of Environmental Protection,1980-01-01,,"ROUTE 190, SHENIPSIT STATE FOREST",6071.0,rural
090159991,Abington,41.84046,-72.010368,209.0,Connecticut,Windham,Not in a City,FOREST,RURAL,USEPA - Clean Air and Power Division,1993-12-21,,"80 Ayers Rd, Abington, CT 06230",6259.0,rural
100010002,PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS,38.986681,-75.556818,0.0,Delaware,Kent,Not in a City,AGRICULTURAL,RURAL,Delaware Dept Natural Resources and Environmental Control,1995-04-01,,"STATE ROAD 384, KILLENS POND RD",19943.0,rural
100010003,PLATFORM IN FIELD BEHIND DELAWARE FED. CREDIT UNION BLDG,39.15564,-75.51821,0.0,Delaware,Kent,Dover,RESIDENTIAL,SUBURBAN,Delaware Dept Natural Resources and Environmental Control,1999-01-01,,WATER ST. DOVER,19901.0,urban-periphery
100017001,100017001,39.13333,-75.46667,8.5,Delaware,Kent,Dover,MILITARY RESERVATION,URBAN AND CENTER CITY,Delaware Dept Natural Resources and Environmental Control,2017-01-01,,"1252 Perimeter Rd, Dover, DE 19902",19902.0,urban-centre
100031003,Bellefonte River Road Park,39.761273,-75.492047,65.0,Delaware,New Castle,Not in a City,RESIDENTIAL,SUBURBAN,Delaware Dept Natural Resources and Environmental Control,1969-01-01,,"RIVER ROAD PARK, BELLEFONTE",19809.0,urban-periphery
100031007,Lums Pond,39.551279,-75.732015,20.0,Delaware,New Castle,Not in a City,AGRICULTURAL,RURAL,Delaware Dept Natural Resources and Environmental Control,1992-01-01,,LUMS POND STATE PARK,19701.0,rural
100031008,Route 9 Delaware City,39.577647,-75.603659,0.0,Delaware,New Castle,Delaware City,AGRICULTURAL,RURAL,Delaware Dept Natural Resources and Environmental Control,1992-01-01,,"ROUTE 9, DELAWARE CITY",19706.0,rural
100031010,BCSP,39.800423,-75.57634,0.0,Delaware,New Castle,Not in a City,AGRICULTURAL,RURAL,Delaware Dept Natural Resources and Environmental Control,1994-07-01,,BRANDYWINE CREEK STATE PARK,19732.0,rural
100031012,Newark  PARKING LOT LAIRD CAMPUS,39.691872,-75.761766,0.0,Delaware,New Castle,Newark,RESIDENTIAL,SUBURBAN,Delaware Dept Natural Resources and Environmental Control,1999-12-15,,UNIV. DE NORTH CAMPUS,19711.0,urban-periphery
100031013,"BELLEVUE STATE PARK, FIELD IN SE PORTION OF PARK",39.773913,-75.496513,0.0,Delaware,New Castle,Not in a City,RESIDENTIAL,SUBURBAN,Delaware Dept Natural Resources and Environmental Control,2001-04-01,,BELLEVUE STATE PARK,19809.0,urban-periphery
100032004,MLK  CORNER OF MLK BLVD AND JUSTISON ST,39.739441,-75.557534,0.0,Delaware,New Castle,Wilmington,COMMERCIAL,URBAN AND CENTER CITY,Delaware Dept Natural Resources and Environmental Control,1999-01-01,,MLK BLVD AND JUSTISON ST.,19801.0,urban-centre
100037003,KILG - Wilmington New Castle County Airport,39.6744,-75.60567,24.1,Delaware,New Castle,Not in a City,COMMERCIAL,URBAN AND CENTER CITY,Delaware Dept Natural Resources and Environmental Control,2017-01-01,,"151 N Dupont Hwy, New Castle, DE 19720",19720.0,urban-centre
100051002,Seaford Shipley State Service Center,38.65392,-75.610605,0.0,Delaware,Sussex,Seaford,RESIDENTIAL,SUBURBAN,Delaware Dept Natural Resources and Environmental Control,1990-03-01,,350 VIRGINIA AVE SEAFORD,19973.0,urban-periphery
100051003,"Lewes SPM SITE, NEAR UD ACID RAIN/MERCURY COLLECTORS",38.779077,-75.163269,0.0,Delaware,Sussex,Lewes,AGRICULTURAL,RURAL,Delaware Dept Natural Resources and Environmental Control,1997-05-01,,UNIV. OF DE COLLEGE OF MARINE STUDIES,19958.0,rural
100057005,KGED - Georgetown Delaware Coastal Airport Weather Station,38.68974,-75.36253,14.0,Delaware,Sussex,Not in a City,COMMERCIAL,SUBURBAN,Delaware Dept Natural Resources and Environmental Control,2017-01-01,,"21553 Rudder Lane, Georgetown, DE 19947",19947.0,urban-periphery
110010041,RIVER TERRACE,38.895572,-76.958072,8.0,District Of Columbia,District of Columbia,Washington,RESIDENTIAL,URBAN AND CENTER CITY,"Department of Energy & Environment, District of Columbia",1993-05-01,,"420 34th Street N.E.,Washington, DC 20019",20019.0,urban-centre
110010042,HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.,38.876255,-77.034059,12.0,District Of Columbia,District of Columbia,Washington,RESIDENTIAL,URBAN AND CENTER CITY,"Department of Energy & Environment, District of Columbia",1988-01-01,,PARK SERVICES OFFICE 1100 OHIO DRIVE,20024.0,urban-centre
110010043,MCMILLAN  NCore-PAMS,38.921847,-77.013178,50.0,District Of Columbia,District of Columbia,Washington,COMMERCIAL,URBAN AND CENTER CITY,"Department of Energy & Environment, District of Columbia",1993-09-09,,"2500 1ST STREET, N.W. WASHINGTON DC",20001.0,urban-centre
110010050,Takoma Rec Center,38.970092,-77.016715,15.0,District Of Columbia,District of Columbia,Washington,RESIDENTIAL,URBAN AND CENTER CITY,"Department of Energy & Environment, District of Columbia",2013-01-01,,"301 Van Buren Street, N.W. Washington DC 20012",20012.0,urban-centre
110010051,Near Road,38.89477,-76.953426,25.0,District Of Columbia,District of Columbia,Washington,COMMERCIAL,URBAN AND CENTER CITY,"Department of Energy & Environment, District of Columbia",2015-01-01,,3600 Benning Road N.E.,20019.0,urban-centre
110010053,King Greenleaf Rec Center,38.875161,-77.012816,5.0,District Of Columbia,District of Columbia,Washington,COMMERCIAL,URBAN AND CENTER CITY,"Department of Energy & Environment, District of Columbia",2018-01-01,,201 N St SW,20024.0,urban-centre
110010055,Bald Eagle Recreational Center,38.818724,-77.010254,5.0,District Of Columbia,District of Columbia,Washington,COMMERCIAL,URBAN AND CENTER CITY,"Department of Energy & Environment, District of Columbia",2024-04-01,,"100 Joliet St, SW, Washington DC 20032",20032.0,urban-centre
110019000,110019000,38.876233,-77.034076,15.0,District Of Columbia,District of Columbia,Washington,FOREST,RURAL,National Park Service,1988-03-02,,Washington D.C.,20024.0,rural
120010024,Alachua,29.658578,-82.408162,5.0,Florida,Alachua,Gainesville,INDUSTRIAL,SUBURBAN,"Ambient Air Services, Inc.",1999-09-05,,SW 8TH AVENUE,,urban-periphery
120010025,120010025,29.684,-82.491,22.86,Florida,Alachua,Gainesville,AGRICULTURAL,RURAL,"Florida Dept of Environmental Protection, Northeast District",2003-03-11,,"2821 NW 143RD STREET GAINESVILLE, FLORIDA",32606.0,rural
120013011,Paynes Prarie,29.544722,-82.296111,30.8,Florida,Alachua,Micanopy,FOREST,RURAL,"Florida Dept of Environmental Protection, Northeast District",1997-08-19,,918 SE 119TH AVE,32667.0,rural
120013012,Paynes Prairie Farm,29.566112,-82.26608,30.8,Florida,Alachua,Micanopy,AGRICULTURAL,RURAL,Florida Department of Environmental Protection (FDEP),2016-12-17,,"9300 CR 234 Micanopy, FL",32667.0,rural
120030002,OLUSTEE,30.201111,-82.441111,46.7,Florida,Baker,Not in a City,FOREST,RURAL,"Florida Dept of Environmental Protection, Northeast District",1996-01-01,,HWY 90 OLUSTEE FOREST SERVICE OFFICE,32087.0,rural
120050004,120050004,30.254367,-85.703819,9.0,Florida,Bay,Lynn Haven,INDUSTRIAL,RURAL,Florida Department of Environmental Protection (FDEP),1976-01-01,,ST. RD. 391,,rural
120050006,"ST.ANDREWS STATE PARK, PANAMA CITY BEACH",30.130433,-85.731517,4.9,Florida,Bay,Lower Grand Lagoon,COMMERCIAL,RURAL,"Florida Dept of Environmental Protection, Northwest District",2000-07-13,,"4607 STATE PARK LN PCB,FL",32408.0,rural
120051004,120051004,30.144369,-85.614371,10.0,Florida,Bay,Panama City,RESIDENTIAL,SUBURBAN,"Florida Dept of Environmental Protection, Northwest District",1985-07-01,,CHERRY ST AND HENDERSON AVENUE,,urban-periphery
120090004,120090004,28.511389,-80.794499,5.0,Florida,Brevard,Titusville,,,"Florida Dept of Environmental Protection, Central District",1974-01-01,,TICO AIRPORT OFF US 1,,unknown
120090007,Melbourne,28.053611,-80.628611,5.0,Florida,Brevard,Melbourne,RESIDENTIAL,URBAN AND CENTER CITY,"Florida Dept of Environmental Protection, Central District",2000-03-01,,"401 West Florida Avenue, Melbourne, FL 32901",32901.0,urban-centre
120090011,120090011,28.46938,-80.66683,1.0,Florida,Brevard,Not in a City,RESIDENTIAL,URBAN AND CENTER CITY,"Florida Dept of Environmental Protection, Central District",2006-11-01,,6315 DEPOT AVENUE,32953.0,urban-centre
120094001,Cocoa Beach,28.310841,-80.61533,2.0,Florida,Brevard,Cocoa Beach,RESIDENTIAL,SUBURBAN,"Florida Dept of Environmental Protection, Central District",1988-09-15,,400 SOUTH 4TH STREET,,urban-periphery
120099991,Canaveral National Seashore,28.6443,-80.6832,3.0,Florida,Brevard,Not in a City,FOREST,RURAL,USEPA - Clean Air and Power Division,2024-08-27,,1235 Main Street,32958.0,rural
120110010,Lincoln Park Elementary,26.128611,-80.167222,10.0,Florida,Broward,Fort Lauderdale,RESIDENTIAL,SUBURBAN,Broward County Environmental Protection Department,1992-01-01,,LINCOLN PARK ELEMENTARY SCH. (NW CORNER),33311.0,urban-periphery
120110031,SAWGRASS SPRINGS MIDDLE SCHOOL,26.272359,-80.294772,3.0,Florida,Broward,Coral Springs,RESIDENTIAL,SUBURBAN,Broward County Environmental Protection Department,1997-09-01,,12600 WEST SAMPLE ROAD,,urban-periphery
120110033,Vista View Park,26.073536,-80.33845,2.0,Florida,Broward,Davie,RESIDENTIAL,SUBURBAN,Broward County Environmental Protection Department,2008-07-01,,"4001 SW 142nd Ave, Davie, FL 33330",33330.0,urban-periphery
120110034,Daniela Banu NCORE,26.053889,-80.256944,2.7,Florida,Broward,Davie,RESIDENTIAL,SUBURBAN,Broward County Environmental Protection Department,2015-01-01,,"5300 South Pine Island Road, Davie, FL 33328",33328.0,urban-periphery
120110035,Near Road - Fort Lauderdale,26.132677,-80.169817,3.0,Florida,Broward,Fort Lauderdale,RESIDENTIAL,URBAN AND CENTER CITY,Broward County Environmental Protection Department,2015-08-21,,"799 North I-95, Ft. Lauderdale, FL 33311",33311.0,urban-centre
120110037,Pompano Beach EJ,26.249231,-80.162789,2.93,Florida,Broward,Pompano Beach,COMMERCIAL,SUBURBAN,Florida Department of Environmental Protection (FDEP),2025-09-01,,"1600 Blount Road, Pompano Beach, FL",33069.0,urban-periphery
120111002,U of F Ag Research Center,26.083143,-80.237586,4.0,Florida,Broward,Davie,COMMERCIAL,SUBURBAN,Broward County Environmental Protection Department,1972-01-01,,3205 SW 70TH AVENUE,33314.0,urban-periphery
120112003,Pompano Highlands,26.291088,-80.096353,10.0,Florida,Broward,Pompano Beach Highlands,RESIDENTIAL,SUBURBAN,Broward County Environmental Protection Department,1976-01-01,,1951 NE 48TH ST,33064.0,urban-periphery
120112004,120112004,26.217582,-80.127545,3.0,Florida,Broward,Pompano Beach,COMMERCIAL,SUBURBAN,Broward County Environmental Protection Department,1981-01-01,,851 SW 3 AVENUE POMPANO BEACH,,urban-periphery
120113002,120113002,26.001202,-80.160324,5.0,Florida,Broward,Hollywood,COMMERCIAL,SUBURBAN,Broward County Environmental Protection Department,1981-01-01,,2701 PLUNKETT STREET HOLLYWOOD,,urban-periphery
120115005,Coconut Creek,26.294167,-80.176389,0.0,Florida,Broward,Coconut Creek,RESIDENTIAL,SUBURBAN,Broward County Environmental Protection Department,1995-08-01,,"5005 NW 39th Ave, Coconut Creek, FL 33073",33073.0,urban-periphery
120118002,Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park),26.087567,-80.111152,3.0,Florida,Broward,Hollywood,RESIDENTIAL,SUBURBAN,Broward County Environmental Protection Department,1987-12-01,,"6503 N Ocean Dr, Dania Beach, FL 33004",33004.0,urban-periphery
120170005,POWER LINE ROAD,28.980556,-82.644381,3.0,Florida,Citrus,Not in a City,INDUSTRIAL,RURAL,"Ambient Air Services, Inc.",1999-02-05,,POWER LINE ROAD,34428.0,rural
120170006,Crystal River Preserve,28.958644,-82.642965,9.0,Florida,Citrus,Not in a City,INDUSTRIAL,RURAL,Florida Department of Environmental Protection (FDEP),2013-12-13,,"13450 W. Power Line Rd., Crystal River, FL 34428",34428.0,rural
120179000,Chassahowitzka NWR,28.748678,-82.554769,4.0,Florida,Citrus,Not in a City,FOREST,RURAL,National Park Service,1993-04-03,,Chassahowitzka NWR,34448.0,rural
120210004,LAURAL OAKS ELEMENTARY,26.270083,-81.710959,20.0,Florida,Collier,Naples,COMMERCIAL,SUBURBAN,"Florida Dept of Environmental Protection, South District",2001-05-01,,7800 IMMOKALEE ROAD NAPLES 34119,,urban-periphery
120230002,Lake City - Veteran's Domicile,30.178056,-82.619167,36.6,Florida,Columbia,Lake City,RESIDENTIAL,SUBURBAN,"Florida Dept of Environmental Protection, Northeast District",2000-11-01,,751 SE SYCAMORE TERRACE,32025.0,urban-periphery
120310032,Kooker Park,30.356339,-81.635396,7.0,Florida,Duval,Jacksonville,COMMERCIAL,SUBURBAN,City of Jacksonville Environmental Quality Division,1972-01-01,,"2900 Bennett Street, Jacksonville, FL 32206",32206.0,urban-periphery
120310053,120310053,30.35245,-81.628173,11.0,Florida,Duval,Jacksonville,INDUSTRIAL,SUBURBAN,City of Jacksonville Environmental Quality Division,1974-01-01,,2221 BUCKMAN ST,32206.0,urban-periphery
120310077,Sheffield,30.477725,-81.587339,12.0,Florida,Duval,Jacksonville,RESIDENTIAL,RURAL,City of Jacksonville Environmental Quality Division,1979-01-01,,13333 LANIER RD.,32226.0,rural
120310080,Southside Playground,30.309119,-81.652341,2.0,Florida,Duval,Jacksonville,COMMERCIAL,SUBURBAN,City of Jacksonville Environmental Quality Division,1979-01-01,,"1605 MINERVA Ave JACKSONVILLE, FL. 32207",32207.0,urban-periphery
120310081,Cedar Bay STP,30.422448,-81.620951,8.0,Florida,Duval,Jacksonville,RESIDENTIAL,SUBURBAN,City of Jacksonville Environmental Quality Division,1978-01-01,,1840 CEDAR BAY RD,32218.0,urban-periphery
120310083,120310083,30.30523,-81.705398,3.0,Florida,Duval,Jacksonville,RESIDENTIAL,SUBURBAN,City of Jacksonville Environmental Quality Division,1980-02-01,,1200 S MCDUFF AVE,32205.0,urban-periphery
120310084,Rosselle,30.320507,-81.68762,5.0,Florida,Duval,Jacksonville,MOBILE,SUBURBAN,City of Jacksonville Environmental Quality Division,1980-01-01,,2189 rosselle st,32204.0,urban-periphery
120310089,120310089,30.329118,-81.639562,5.0,Florida,Duval,Jacksonville,RESIDENTIAL,URBAN AND CENTER CITY,City of Jacksonville Environmental Quality Division,1981-01-01,,600 GEORGIA STREET,32202.0,urban-centre
120310097,120310097,30.367461,-81.593983,20.0,Florida,Duval,Jacksonville,COMMERCIAL,SUBURBAN,City of Jacksonville Environmental Quality Division,1991-09-06,,"6241 FORT CAROLINE ROAD, JACKSONVILLE",,urban-periphery
120310098,Mandarin,30.135797,-81.633981,4.0,Florida,Duval,Jacksonville,COMMERCIAL,SUBURBAN,City of Jacksonville Environmental Quality Division,1999-06-01,,14932 MANDARIN ROAD,,urban-periphery
120310099,Sunny Acres,30.354722,-81.547778,7.0,Florida,Duval,Jacksonville,COMMERCIAL,SUBURBAN,City of Jacksonville Environmental Quality Division,1999-06-01,,9429 MERRILL ROAD,32225.0,urban-periphery
120310100,Mayo Clinic,30.260278,-81.453611,3.0,Florida,Duval,Jacksonville,RESIDENTIAL,SUBURBAN,Jacksonville Air Pollution Control Activity,2002-08-28,,13600 William Davis Parkway.,32224.0,urban-periphery
120310101,120310101,30.33501,-81.61861,9.72,Florida,Duval,Jacksonville,INDUSTRIAL,SUBURBAN,City of Jacksonville Environmental Quality Division,2004-01-22,,1640 TALLEYRAND AVENUE,,urban-periphery
120310102,120310102,30.35319,-81.56725,5.85,Florida,Duval,Jacksonville,COMMERCIAL,SUBURBAN,City of Jacksonville Environmental Quality Division,2003-09-09,,7730 MERRILL ROAD,32277.0,urban-periphery
120310103,120310103,30.41707,-81.585858,2.77,Florida,Duval,Jacksonville,INDUSTRIAL,SUBURBAN,City of Jacksonville Environmental Quality Division,2003-03-06,,9323 EASTPORT ROAD,32218.0,urban-periphery
120310104,120310104,30.352375,-81.61841,1.65,Florida,Duval,Jacksonville,INDUSTRIAL,SUBURBAN,City of Jacksonville Environmental Quality Division,2002-08-19,,4215 TALLEYRAND AVENUE,,urban-periphery
120310105,120310105,30.31725,-81.68395,3.02,Florida,Duval,Jacksonville,INDUSTRIAL,SUBURBAN,City of Jacksonville Environmental Quality Division,2001-08-01,,2189 ROSSELLE STREET,32204.0,urban-periphery
120310106,Cisco Drive,30.378217,-81.8409,30.5,Florida,Duval,Jacksonville,RESIDENTIAL,RURAL,City of Jacksonville Environmental Quality Division,2009-09-28,,4770 Cisco Dr,32219.0,rural
120310108,Pepsi Place,30.262778,-81.606833,5.79,Florida,Duval,Jacksonville,MOBILE,SUBURBAN,Jacksonville Department Health And Rehabilitation Services,2014-01-01,,"5895 Pepsi Place, Jacksonville, FL 32216",32216.0,urban-periphery
120330003,120330003,30.619915,-87.317197,48.0,Florida,Escambia,Pensacola,INDUSTRIAL,RURAL,"Florida Dept of Environmental Protection, Northwest District",1979-01-01,,CHAMPION INTERNATIONAL GOLF COURSE,,rural
120330004,Ellyson Industrial Park,30.525367,-87.20355,32.0,Florida,Escambia,Ferry Pass,INDUSTRIAL,SUBURBAN,"Florida Dept of Environmental Protection, Northwest District",1974-01-01,,ELLYSON INDUSTRIAL PARK-COPTER ROAD,32514.0,urban-periphery
